,,,
,,,
,,,
,,,
,,backtracks,runtime
verydifficult & 1   & 473 \\
expert        & 11  & 671 \\
lambda        & 11  & 4271 \\
hard17        & 8   & 2016 \\
symme         & 6   & 1307 \\
eastermonster & 10  & 1488 \\
tarek_052     & 9   & 4081 \\
goldennugget  & 11  & 3302 \\
coloin        & 14  & 1607 \\
extra1        & 13  & 4251 \\
extra2        & 20  & 18592\\
extra3        & 11  & 4302 \\
extra4        & 10  & 6218 \\
inkara2012    & 15  & 6829 \\
clue18        & 15  & 3326 \\
clue17        & 10  & 8760 \\
sudowiki_nb28 & 10  & 17830\\
sudowiki_nb49 & 12  & 2777 \\
veryeasy      & 46  & 551 \\
