,,,,,,,,,,,
,,,,,,,,,,,
,,VP3 SD MIN,,VP3 SD MAX,,VP3 LD MIN,,VP3 LD MAX,,VP3 FF ID,
,,,,,,,,,,,
,,backtracks,runtime ,backtracks,runtime ,backtracks,runtime ,backtracks,runtime ,backtracks,runtime 
,verydifficult,0,333,0,319,0,315,0,329,0,453
,expert,0,306,0,322,0,377,0,323,0,276
,lambda,0,295,0,307,0,331,0,327,0,264
,hard17,1,328,0,320,1,330,0,314,1,300
,symme,3,365,32,584,3,334,32,442,3,292
,eastermonster,87,1025,48,732,87,527,48,431,87,395
,tarek_052,20,430,63,657,20,372,63,439,20,347
,goldennugget,11,375,108,978,11,339,108,594,11,331
,coloin,16,352,121,682,16,349,121,491,16,331
,extra1,0,306,0,314,0,325,0,309,0,284
,extra2,0,314,0,320,0,313,0,332,0,296
,extra3,0,310,0,306,0,324,0,333,0,286
,extra4,0,312,0,319,0,301,0,321,0,271
,inkara2012,108,1073,3,349,108,568,3,322,108,478
,clue18,18,473,49,648,18,374,49,445,18,327
,clue17,0,309,0,310,0,325,0,327,0,291
,sudowiki_nb28,240,2195,492,3505,240,864,492,1243,240,608
,sudowiki_nb49,328,3118,140,1498,328,1292,140,675,328,827
,veryeasy,3,367,3,342,3,331,3,330,3,315
